 format: day,hour,forecast,value  location:53_124 Start : 20260706 
 6,0500,+36,4.000000 
 6,0500,+37,4.000000 
 6,0500,+38,4.000000 
 6,0500,+39,4.000000 
 6,0500,+40,4.000000 
 6,0500,+41,4.000000 
 6,0500,+42,4.000000 
 6,0500,+43,4.000000 
 6,0500,+44,4.000000 
 6,0500,+45,4.000000 
 6,0500,+46,4.000000 
 6,0500,+47,4.000000 
 6,0500,+48,4.000000 
 6,0500,+49,4.000000 
 6,0500,+50,4.000000 
 6,0500,+51,4.000000 
 6,0500,+52,4.000000 
 6,0500,+53,4.000000 
 6,0500,+54,4.000000 
 6,0500,+55,4.000000 
 6,0500,+56,4.000000 
 6,0500,+57,4.000000 
 6,0500,+58,4.000000 
 6,0500,+61,4.000000 
 6,0500,+64,4.000000 
 6,0500,+67,4.000000 
 6,0500,+70,4.000000 
 6,0500,+73,4.000000 
 6,0500,+76,4.000000 
 6,0500,+79,4.000000 
 6,0500,+82,4.000000 
 6,0800,+6,4.000000 
 6,0800,+7,4.000000 
 6,0800,+8,4.000000 
 6,0800,+9,4.000000 
 6,0800,+10,4.000000 
 6,0800,+11,4.000000 
 6,0800,+12,4.000000 
 6,0800,+13,4.000000 
 6,0800,+14,4.000000 
 6,0800,+15,4.000000 
 6,0800,+16,4.000000 
 6,0800,+17,4.000000 
 6,0800,+18,4.000000 
 6,0800,+19,4.000000 
 6,0800,+20,4.000000 
 6,0800,+21,4.000000 
 6,0800,+22,4.000000 
 6,0800,+23,4.000000 
 6,0800,+24,4.000000 
 6,0800,+25,4.000000 
 6,0800,+26,4.000000 
 6,0800,+27,4.000000 
 6,0800,+28,4.000000 
 6,0800,+29,4.000000 
 6,0800,+30,4.000000 
 6,0800,+31,4.000000 
 6,0800,+32,4.000000 
 6,0800,+33,4.000000 
 6,0800,+34,4.000000 
 6,0800,+35,4.000000 
 6,0800,+36,4.000000 
 6,0800,+37,4.000000 
 6,0800,+38,4.000000 
 6,0800,+39,4.000000 
 6,0800,+40,4.000000 
 6,0800,+41,4.000000 
 6,0800,+42,4.000000 
 6,0800,+43,4.000000 
 6,0800,+44,4.000000 
 6,0800,+45,4.000000 
 6,0800,+46,4.000000 
 6,0800,+47,4.000000 
 6,0800,+48,4.000000 
 6,0800,+49,4.000000 
 6,0800,+50,4.000000 
 6,0800,+51,4.000000 
 6,0800,+52,4.000000 
 6,0800,+53,4.000000 
 6,0800,+54,4.000000 
 6,0800,+55,4.000000 
 6,0800,+56,4.000000 
 6,0800,+57,4.000000 
 6,0800,+58,4.000000 
 6,0800,+59,4.000000 
 6,0800,+60,4.000000 
 6,0800,+61,4.000000 
 6,0800,+62,4.000000 
 6,0800,+63,4.000000 
 6,0800,+64,4.000000 
 6,0800,+65,4.000000 
 6,0800,+66,4.000000 
 6,0800,+67,4.000000 
 6,0800,+68,4.000000 
 6,0800,+69,4.000000 
 6,0800,+70,4.000000 
 6,0800,+71,4.000000 
 6,0800,+72,4.000000 
 6,0800,+73,4.000000 
 6,0800,+74,4.000000 
 6,0800,+75,4.000000 
 6,0800,+76,4.000000 
 6,0800,+77,4.000000 
 6,0800,+78,4.000000 
 6,0800,+79,4.000000 
 6,0800,+82,4.000000 
 6,0800,+85,4.000000 
 6,0800,+88,4.000000 
 6,0800,+91,4.000000 
 6,0800,+94,3.000000 
 6,0800,+97,1.000000 
 6,0800,+100,3.000000 
 6,0800,+103,3.000000 
 6,1100,+6,4.000000 
 6,1100,+7,4.000000 
 6,1100,+8,4.000000 
 6,1100,+9,4.000000 
 6,1100,+10,4.000000 
 6,1100,+11,4.000000 
 6,1100,+12,4.000000 
 6,1100,+13,4.000000 
 6,1100,+14,4.000000 
 6,1100,+15,4.000000 
 6,1100,+16,4.000000 
 6,1100,+17,4.000000 
 6,1100,+18,4.000000 
 6,1100,+19,4.000000 
 6,1100,+20,4.000000 
 6,1100,+21,4.000000 
 6,1100,+22,4.000000 
 6,1100,+23,4.000000 
 6,1100,+24,4.000000 
 6,1100,+25,4.000000 
 6,1100,+26,4.000000 
 6,1100,+27,4.000000 
 6,1100,+28,4.000000 
 6,1100,+29,4.000000 
 6,1100,+30,4.000000 
 6,1100,+31,4.000000 
 6,1100,+32,4.000000 
 6,1100,+33,4.000000 
 6,1100,+34,4.000000 
 6,1100,+35,4.000000 
 6,1100,+36,4.000000 
 6,1100,+37,4.000000 
 6,1100,+38,4.000000 
 6,1100,+39,4.000000 
 6,1100,+40,4.000000 
 6,1100,+41,4.000000 
 6,1100,+42,4.000000 
 6,1100,+43,4.000000 
 6,1100,+44,4.000000 
 6,1100,+45,4.000000 
 6,1100,+46,4.000000 
 6,1100,+47,4.000000 
 6,1100,+48,4.000000 
 6,1100,+49,4.000000 
 6,1100,+50,4.000000 
