 format: day,hour,forecast,value  location:53_124 Start : 20260706 
 6,0800,+63,24.000000 
 6,0800,+64,25.000000 
 6,0800,+65,25.000000 
 6,0800,+66,25.000000 
 6,0800,+67,26.000000 
 6,0800,+68,26.000000 
 6,0800,+69,26.000000 
 6,0800,+70,27.000000 
 6,0800,+71,27.000000 
 6,0800,+72,26.000000 
 6,0800,+73,26.000000 
 6,0800,+74,25.000000 
 6,0800,+75,25.000000 
 6,0800,+76,25.000000 
 6,0800,+77,24.000000 
 6,0800,+78,24.000000 
 6,0800,+79,24.000000 
 6,0800,+82,24.000000 
 6,0800,+85,24.000000 
 6,0800,+88,26.000000 
 6,0800,+91,27.000000 
 6,0800,+94,28.000000 
 6,0800,+97,27.000000 
 6,0800,+100,25.000000 
 6,0800,+103,24.000000 
 6,1100,+6,25.000000 
 6,1100,+7,24.000000 
 6,1100,+8,24.000000 
 6,1100,+9,24.000000 
 6,1100,+10,24.000000 
 6,1100,+11,25.000000 
 6,1100,+12,25.000000 
 6,1100,+13,26.000000 
 6,1100,+14,26.000000 
 6,1100,+15,27.000000 
 6,1100,+16,27.000000 
 6,1100,+17,28.000000 
 6,1100,+18,29.000000 
 6,1100,+19,29.000000 
 6,1100,+20,29.000000 
 6,1100,+21,28.000000 
 6,1100,+22,28.000000 
 6,1100,+23,27.000000 
 6,1100,+24,26.000000 
 6,1100,+25,26.000000 
 6,1100,+26,26.000000 
 6,1100,+27,26.000000 
 6,1100,+28,26.000000 
 6,1100,+29,26.000000 
 6,1100,+30,26.000000 
 6,1100,+31,26.000000 
 6,1100,+32,25.000000 
 6,1100,+33,24.000000 
 6,1100,+34,24.000000 
 6,1100,+35,25.000000 
 6,1100,+36,25.000000 
 6,1100,+37,26.000000 
 6,1100,+38,26.000000 
 6,1100,+39,27.000000 
 6,1100,+40,27.000000 
 6,1100,+41,26.000000 
 6,1100,+42,26.000000 
 6,1100,+43,26.000000 
 6,1100,+44,26.000000 
 6,1100,+45,26.000000 
 6,1100,+46,25.000000 
 6,1100,+47,25.000000 
 6,1100,+48,25.000000 
 6,1100,+49,24.000000 
 6,1100,+50,24.000000 
 6,1100,+51,24.000000 
 6,1100,+52,24.000000 
 6,1100,+53,24.000000 
 6,1100,+54,24.000000 
 6,1100,+55,24.000000 
 6,1100,+56,24.000000 
 6,1100,+57,24.000000 
 6,1100,+58,24.000000 
 6,1100,+59,24.000000 
 6,1100,+60,24.000000 
 6,1100,+61,25.000000 
 6,1100,+62,25.000000 
 6,1100,+63,25.000000 
 6,1100,+64,26.000000 
 6,1100,+65,26.000000 
 6,1100,+66,26.000000 
 6,1100,+67,27.000000 
 6,1100,+68,27.000000 
 6,1100,+69,26.000000 
 6,1100,+70,26.000000 
 6,1100,+71,25.000000 
 6,1100,+72,25.000000 
 6,1100,+73,25.000000 
 6,1100,+74,24.000000 
 6,1100,+75,24.000000 
 6,1100,+76,24.000000 
 6,1100,+79,24.000000 
 6,1100,+82,24.000000 
 6,1100,+85,26.000000 
 6,1100,+88,27.000000 
 6,1100,+91,28.000000 
 6,1100,+94,27.000000 
 6,1100,+97,25.000000 
 6,1100,+100,24.000000 
 6,1400,+6,24.000000 
 6,1400,+7,24.000000 
 6,1400,+8,25.000000 
 6,1400,+9,25.000000 
 6,1400,+10,26.000000 
 6,1400,+11,26.000000 
 6,1400,+12,27.000000 
 6,1400,+13,27.000000 
 6,1400,+14,28.000000 
 6,1400,+15,29.000000 
 6,1400,+16,29.000000 
 6,1400,+17,29.000000 
 6,1400,+18,28.000000 
 6,1400,+19,28.000000 
 6,1400,+20,27.000000 
 6,1400,+21,26.000000 
 6,1400,+22,26.000000 
 6,1400,+23,26.000000 
 6,1400,+24,26.000000 
 6,1400,+25,26.000000 
 6,1400,+26,26.000000 
 6,1400,+27,26.000000 
 6,1400,+28,26.000000 
 6,1400,+29,25.000000 
 6,1400,+30,24.000000 
 6,1400,+31,24.000000 
 6,1400,+32,25.000000 
 6,1400,+33,25.000000 
 6,1400,+34,26.000000 
 6,1400,+35,26.000000 
 6,1400,+36,27.000000 
 6,1400,+37,27.000000 
 6,1400,+38,26.000000 
 6,1400,+39,26.000000 
 6,1400,+40,26.000000 
 6,1400,+41,26.000000 
 6,1400,+42,26.000000 
 6,1400,+43,25.000000 
 6,1400,+44,25.000000 
 6,1400,+45,25.000000 
 6,1400,+46,24.000000 
 6,1400,+47,24.000000 
 6,1400,+48,24.000000 
 6,1400,+49,24.000000 
 6,1400,+50,24.000000 
